participant_id	sex	age	int_lv1_down	int_lv1_passive	int_lv1_up	int_lv2_down	int_lv2_passive	int_lv2_up	int_lv3_down	int_lv3_passive	int_lv3_up	int_lv4_down	int_lv4_passive	int_lv4_up	int_lv5_down	int_lv5_passive	int_lv5_up	int_lv6_down	int_lv6_passive	int_lv6_up	unp_lv1_down	unp_lv1_passive	unp_lv1_up	unp_lv2_down	unp_lv2_passive	unp_lv2_up	unp_lv3_down	unp_lv3_passive	unp_lv3_up	unp_lv4_down	unp_lv4_passive	unp_lv4_up	unp_lv5_down	unp_lv5_passive	unp_lv5_up	unp_lv6_down	unp_lv6_passive	unp_lv6_up	scr_lv1_down	scr_lv1_passive	scr_lv1_up	scr_lv2_down	scr_lv2_passive	scr_lv2_up	scr_lv3_down	scr_lv3_passive	scr_lv3_up	scr_lv4_down	scr_lv4_passive	scr_lv4_up	scr_lv5_down	scr_lv5_passive	scr_lv5_up	scr_lv6_down	scr_lv6_passive	scr_lv6_up
"CRB207"	"F"	22.04	2.15053763466667	3.22580645166667	4.301075269	4.16666666666667	4.70430107533333	7.123655914	12.5000000006667	6.989247312	11.962365592	9.94623656	27.55376344	27.41935484	22.5806451633333	20.6989247333333	36.8279569933333	38.97849462	41.5322580633333	46.1021505366667	-4.56989247333334	-11.5591397866667	2.41935484	-9.13978494666667	-1.88172043333333	11.8279569933333	5.10752688	2.82258065333333	12.3655914	3.36021505333333	11.6935483866667	25.4032258066667	15.0537634466667	8.87096774	36.8279569933333	29.4354838733333	34.5430107533333	50.1344086	15.5821713107235	16.1810429558575	15.8421426879752	16.4724331802499	16.6268585644589	16.0240224114859	16.7871881918796	16.3399072095122	16.6015266014911	17.7721794709251	16.6652433793496	17.9514537545367	18.1787439568113	17.9168854064705	19.029009548139	18.9978179682891	18.5277163017034	18.6497068419761
"CRB208"	"F"	21.96	4.16666666666667	5.64516129	7.39247311933333	5.91397849433333	6.586021505	8.870967742	6.72043010733333	10.3494623653333	19.6236559133333	15.9946236566667	21.3709677433333	33.60215054	20.2956989266667	37.7688172033333	27.6881720433333	28.7634408633333	42.3387096766667	44.3548387066667	0.672043006666669	1.47849462	5.91397849333334	3.62903226	1.88172042666667	8.33333333333333	4.30107527333333	5.9139785	12.6344086	10.08064516	13.97849462	24.5967741933333	15.0537634333333	27.8225806466667	27.9569892466667	25.1344086066667	33.4677419333333	34.94623656	12.823459194386	13.352055579528	13.743934120691	14.1235158098041	13.6383585568177	13.592546441234	13.441423954734	14.2723718268092	14.0715547228925	15.473677475065	15.2735645119122	13.6069904822334	15.0394012414088	14.5998547972954	17.9211775908068	14.7449262998152	19.7877808064303	17.6476782409427
"CRB209"	"F"	21.26	1.47849462366667	4.03225806533333	3.62903225833333	4.70430107533333	7.52688171966667	8.06451612933333	11.9623655933333	13.1720430106667	16.129032256	10.080645161	30.51075269	20.02688172	17.3387096766667	47.3118279566667	35.2150537633333	36.5591397866667	57.52688172	47.98387097	-3.09139784666667	-12.7688172	-0.134408600000005	-8.73655914	-18.1451612866667	0	-8.60215054	-11.6935483866667	5.64516129333334	3.22580645333333	11.42473118	6.85483870666667	-1.07526882	22.8494623666667	18.1451612933333	5.77956988666667	29.8387096733333	28.62903226	14.0565613460534	16.9544320328442	13.9504611704378	14.771630381907	15.8459814394393	14.5627248900666	14.4737238415539	14.7561694646056	15.5427084088492	15.068865274405	18.2274083635917	17.3656372830232	13.5387105711407	24.6673231452137	19.2968729904671	17.244950756186	25.9444513655727	26.5539125695285
"CRB210"	"M"	22.82	4.56989247333333	7.52688172033333	6.72043010733333	6.98924731166667	12.903225805	5.91397849466667	9.00537634433333	11.559139785	8.60215053633333	12.3655913956667	15.8602150533333	13.0376344073333	18.4139784933333	23.65591398	17.7419354833333	21.6397849466667	29.30107527	23.9247311833333	0.537634406666669	-0.268817206666668	1.88172043333333	0.940860213333337	3.89784946	2.95698924666667	3.49462365333333	6.0483871	7.39247311333333	4.97311828	4.30107526666667	9.81182796	9.54301074666667	15.7258064466667	15.3225806466667	9.13978494666667	14.6505376333333	21.9086021466667	13.5341689681192	13.3830432948957	12.4942583747759	12.8349188425294	13.8513746940268	12.6507118990369	12.8697449032815	13.3977117080726	13.0014825526223	12.9147254227021	14.6426087907623	13.8012476328101	14.0116222204861	15.6705274365762	18.3459486305825	20.2085067764206	17.786214595092	15.8285066216761
"CRB211"	"M"	21.17	11.0215053756667	14.2473118283333	5.241935484	10.4838709676667	12.7688172026667	12.9032258063333	16.6666666633333	22.1774193566667	23.5215053766667	21.6397849466667	24.8655913966667	18.5483870966667	34.5430107533333	32.1236559133333	27.2849462366667	37.2311827966667	44.2204301066667	41.3978494633333	-5.64516128666666	-2.28494623333333	1.61290322666666	-1.74731182666666	0.268817206666668	5.24193548666667	-0	4.97311827333333	9.40860215333333	6.72043010666667	14.5161290333333	7.79569892666666	11.55913978	23.1182795733333	16.6666666666667	16.3978494666667	31.3172043	29.83870968	19.1232010439687	15.9453939699166	13.3850875462445	12.0098427670346	10.4189414158748	11.9204113744973	10.5570107288184	17.0416127365296	14.6775227345496	21.8961933278675	31.2606740765487	15.6490170895193	37.2866955032733	32.2551562304625	34.3377593487299	33.1141258931829	49.1267522594959	34.4203278316627
"CRB212"	"F"	22.75	8.87096774166667	6.45161290333333	6.586021505	18.2795698933333	19.489247311	10.61827957	35.8870967733333	37.9032258066667	17.7419354833333	35.48387097	44.89247312	48.79032258	49.7311827966667	51.3440860233333	48.9247311833333	58.4677419366667	50.1344086	47.5806451633333	1.07526881333333	5.10752688666667	7.52688172	14.7849462333333	17.47311828	8.06451613333334	23.79032258	26.0752688133333	16.8010752666667	24.8655914	34.1397849466667	43.8172043	44.4892473133333	48.92473118	39.3817204333333	49.5967741933333	50.2688172066667	46.9086021466667	16.688667265985	13.3713697842773	12.6386224888318	14.4277516722377	17.3274301545823	14.9644141203973	24.8994113289682	14.1614907638885	14.3648723825748	17.2543518932773	19.508008519149	23.8448573691435	26.62914196453	25.6531543493512	22.0259774615974	28.2050360815773	27.5108091207277	27.1734817112847
"CRB213"	"F"	23.45	1.612903226	2.95698924733333	6.048387097	8.736559141	6.58602150633333	6.586021507	12.9032258076667	9.81182795733333	14.2473118283333	19.8924731183333	18.14516129	19.4892473133333	23.6559139766667	26.6129032233333	22.44623656	26.6129032266667	38.4408602133333	32.52688172	1.07526882	5.10752688	4.70430107333333	2.95698924666667	8.60215054	8.19892474	10.7526881666667	9.40860215333333	12.7688172066667	14.6505376333333	20.6989247333333	16.5322580666667	17.2043010733333	25	19.3548387133333	26.0752688133333	35.6182795666667	33.46774194	13.672022670436	17.053843799762	15.2522882568135	14.3824124453471	15.4758667805919	14.9700781757301	22.3405672534247	17.2676697136327	16.2393579180392	23.3222706709186	19.745825980574	24.1300015061375	23.9641231593695	21.7063365042536	22.868289912185	22.8812531417633	32.2694782838631	30.6048305494973
"CRB214"	"M"	22.78	9.946236559	11.4247311823333	11.8279569896667	13.1720430133333	16.5322580666667	14.650537636	15.0537634433333	15.3225806466667	19.7580645166667	17.0698924733333	15.4569892466667	22.1774193533333	25.53763441	19.35483871	24.8655914	24.8655913966667	25.4032258033333	24.4623655933333	6.45161290666667	3.49462365333333	6.98924731333333	12.0967741933333	10.4838709733333	12.7688172	11.5591397866667	14.7849462333333	16.9354838666667	21.9086021466667	16.12903226	18.6827957	22.17741936	18.8172043	24.3279569866667	21.6397849466667	27.0161290266667	24.5967741933333	14.9976107909481	15.708125194104	15.2758533120101	15.7589949694257	15.7236178902807	15.6837105375851	16.0571371657522	15.4139767722637	15.863716245847	16.8171817296112	16.641154696773	18.4159342548261	21.1310228039204	16.3606564480225	19.426422001531	20.6912364520042	17.3986480338539	19.5256542243938
"CRB215"	"F"	22.69	3.89784946233333	4.83870967766667	5.37634408633333	9.13978494766667	9.13978494566667	12.9032258063333	11.5591397866667	11.1559139806667	19.4892473133333	19.4892473133333	20.8333333326667	26.4784946266667	22.0430107533333	20.5645161266667	40.3225806433333	23.5215053766667	28.76344086	40.4569892466667	-15.3225806466667	-9.67741936	10.7526881733333	-9.13978494666667	-3.89784946	17.7419354866667	0.806451613333332	17.0698924733333	25	22.58064516	29.4354838733333	32.9301075266667	23.3870967733333	17.3387096733333	32.7956989266667	22.84946236	27.1505376333333	36.9623655933333	12.9046403483584	12.4785359328826	12.500347000838	14.9831674023307	13.7431341066346	20.4343800638069	14.3394332466923	14.3121446678529	15.385306394303	16.2469657552238	19.5186693761045	20.182700615376	20.2078354284864	23.3952483831818	27.1905150674097	20.6430407036974	22.0931057938227	23.0001157657105
"CRB216"	"M"	21.73	7.66129032366667	3.89784946233333	6.85483871066667	10.483870968	12.634408603	8.33333333333333	8.06451613	12.4999999983333	11.2903225823333	6.72043010766667	15.72580645	12.5	15.1881720433333	25.53763441	19.4892473133333	36.5591397866667	27.9569892466667	24.7311827966667	-6.1827957	-5.77956989333334	-4.16666666666667	-19.75806452	-10.88709678	-11.5591397866667	-14.1129032266667	-13.44086022	-13.5752688133333	-7.52688172666666	-16.6666666666667	-1.88172042666667	-28.3602150466667	-23.52150538	12.5	-37.9032258066667	-26.3440860133333	22.1774193533333	5.95407704437762	12.5852262322304	7.21037065471111	8.72886792646675	11.3613934461029	9.42066090196472	7.9912171942424	8.72349883713866	12.3069520434157	6.53059425865684	10.8148676939786	12.5716157236596	11.206434840249	11.9668134245185	9.65218099924603	28.2293757842004	20.8709869191425	11.6736058328922
