participant_id	sex	age	heat_lv1	heat_lv2	heat_lv3	heat_lv4	heat_lv5	heat_lv6
"CRB207"	"F"	22.04	3.22580645177778	5.33154121866667	10.4838709682222	21.6397849466667	26.7025089633333	42.2043010733333
"CRB208"	"F"	21.96	5.73476702533333	7.12365591377778	12.2311827953333	23.65591398	28.5842293911111	38.4856630822222
"CRB209"	"F"	21.26	3.04659498244444	6.76523297477778	13.7544802866667	20.2060931903333	33.2885304655556	47.3566308255555
"CRB210"	"M"	22.82	6.27240143366667	8.60215053711111	9.72222222188889	13.7544802854444	19.9372759855556	24.9551971333333
"CRB211"	"M"	21.17	10.170250896	12.0519713255556	20.7885304655556	21.6845878133333	31.3172043011111	40.9498207888889
"CRB212"	"F"	22.75	7.30286738333333	16.1290322581111	30.5107526877778	43.0555555566667	50.0000000011111	52.0609319
"CRB213"	"F"	23.45	3.53942652344444	7.30286738477778	12.3207885311111	19.1756272405556	24.2383512533333	32.52688172
"CRB214"	"M"	22.78	11.0663082436667	14.7849462386667	16.7114695355556	18.2347670244444	23.2526881733333	24.9103942644444
"CRB215"	"F"	22.69	4.70430107544444	10.3942652332222	14.0681003602222	22.2670250908889	27.6433691744444	30.9139784944444
"CRB216"	"M"	21.73	6.13799283222222	10.4838709681111	10.6182795702222	11.6487455192222	20.0716845888889	29.7491039433333
"CRB217"	"M"	34.96	0.537634408666667	2.37455197122222	3.31541218622222	6.18279569911111	9.45340501822222	11.5143369164444
"CRB218"	"M"	26.13	5.51075268822222	6.40681003633333	8.78136200677778	15.1881720427778	22.2222222204444	31.6756272411111
"CRB219"	"F"	41.73	1.56810035833333	4.03225806444445	9.58781361988889	15.6362007172222	17.1146953393333	28.4946236572222
"CRB220"	"F"	19.79	24.64157706	24.7311827955556	29.43548387	38.8440860222222	44.53405018	56.8100358422222
"CRB221"	"M"	20.25	12.1415770606667	17.2491039422222	22.7598566322222	31.1379928311111	39.6505376344444	42.3835125444445
"CRB222"	"M"	24.95	14.2473118288889	16.4426523288889	19.2652329755556	20.7885304644444	23.9695340511111	26.8369175644444
"CRB223"	"F"	36.2	11.9175627236667	19.2204301068889	26.9265232966667	34.3637992833333	39.8297491044445	47.3566308244444
"CRB224"	"M"	24.09	8.46774193466667	9.85663082477778	18.0107526892222	32.4372759855556	42.7419354833333	52.2401433688889
"CRB225"	"F"	24.73	7.07885304677778	9.13978494688889	15.3225806461111	20.9229390686667	28.1362007177778	30.1523297488889
"CRB226"	"M"	20.16	6.36200716855556	9.09498207888889	12.2311827963333	14.4265232983333	20.4301075266667	27.0161290322222
"CRB227"	"M"	24.27	2.73297491033333	5.64516129055556	6.98924731122222	9.67741935522222	12.051971326	20.3405017915556
"CRB228"	"M"	19.38	6.89964157688889	11.5143369175556	10.6630824382222	19.6684587811111	24.2831541222222	28.5394265233333
"CRB229"	"M"	20.15	9.54301075344444	12.1863799288889	17.6075268825556	23.0734767025556	37.9928315411111	42.4283154133333
"CRB230"	"M"	22.89	4.39068100355556	7.66129032255555	10.2598566313333	12.4551971334444	17.1146953405556	24.2383512544444
"CRB231"	"F"	24.77	0	1.34408602155556	4.16666666688889	6.13799283155555	13.3512544805556	16.2186379936667
"CRB232"	"M"	29.93	5.55555555544445	7.661290322	8.19892473111111	14.3817204285556	19.7580645177778	23.0286738361111
"CRB233"	"M"	33.35	16.1290322555556	19.3996415766667	25.5824372766667	27.91218638	33.2885304666667	34.3189964166667
"CRB234"	"F"	22.52	7.57168458855556	7.07885304655555	6.45161290388889	14.9193548391111	27.1057347677778	36.2455197133333
"CRB235"	"M"	21.94	7.52688172055556	8.87096774155556	11.7383512534444	15.5913978502222	22.1326164877778	29.79390681
"CRB236"	"F"	22.96	8.55734766977778	14.6505376346667	20.2060931894444	21.102150538	29.9283154133333	37.14157706
"CRB237"	"F"	21.41	3.44982078866667	4.21146953422222	4.56989247322222	5.82437276	7.30286738344444	12.4551971334444
"CRB238"	"M"	34.43	2.59856630844444	3.40501792111111	3.94265232988889	8.87096774277778	10.6182795702222	19.086021507
"CRB239"	"F"	23.26	4.79390680977778	3.09139784911111	9.27419354822222	8.51254480355555	9.90143369211111	12.1415770614444
"CRB240"	"F"	18.92	9.72222222233333	10.7526881726667	17.338709678	26.0304659477778	32.8853046588889	39.3817204311111
"CRB241"	"F"	21.9	8.60215053755556	13.575268818	21.1021505377778	31.4068100355556	33.3781362022222	45.7437275977778
"CRB242"	"F"	20.05	15.1433691761111	16.9354838703333	20.02688172	22.0430107533333	30.5555555544444	32.8405017922222
"CRB243"	"F"	25.7	2.64336917566667	4.21146953433333	6.54121863766667	13.8440860224444	22.4910394264444	28.7634408611111
"CRB244"	"M"	24.74	6.49641577077778	8.46774193555556	8.19892473044444	10.7974910392222	12.9480286744444	16.0394265233333
"CRB245"	"F"	40.3	11.7383512556667	15.9050179204444	19.4892473123333	22.7150537633333	33.6917562722222	41.3530465944444
"CRB246"	"M"	26.12	3.71863799288889	4.74910394266667	9.27419354811111	13.5752688161111	18.3243727602222	21.0573476688889
"CRB248"	"M"	24.16	3.18100358433333	3.58422939033333	6.76523297522222	9.63261648622222	20.743727598	26.2544802866667
